business_name,address,phone,website,types,source_town,source_categories,rating,reviews,place_id,lat,lng
Dylans on the Terrace,"82-84 Stirling Terrace, Albany WA 6330, Australia",(08) 9841 8720,http://www.dylans.com.au/,"cafe,establishment,food,meal_takeaway,point_of_interest,restaurant,store",Albany,"restaurants,pubs and bars,cafes,takeaway food",4.6,1503,ChIJC6mDTCQnOSoRwang41zoab0,-35.0270309,117.8857116
Three Anchors,"2 Flinders Parade, Middleton Beach WA 6330, Australia",(08) 9841 1600,http://www.threeanchors.com.au/,"cafe,establishment,food,point_of_interest,restaurant,store",Albany,"restaurants,pubs and bars,cafes",4,1850,ChIJq_llkV0nOSoRkHXPeMMb4qw,-35.0256442,117.9162772
Sotao,"shop5/100 York St, Albany WA 6330, Australia",(08) 9842 3472,https://bookings.wowapps.com/make-booking/sotao,"bar,establishment,food,point_of_interest,restaurant",Albany,"restaurants,pubs and bars,cafes",4.9,226,ChIJXdfGLu0nOSoRWcfPE3_-R-8,-35.0275826,117.8840655
Rock Salt Restaurant Albany,"65 Frenchman Bay Rd, Albany WA 6330, Australia",0448 694 124,https://www.rocksaltalbany.com.au/,"bar,establishment,food,point_of_interest,restaurant",Albany,"restaurants,pubs and bars,cafes",4.3,526,ChIJ0eUmAsomOSoRBqyB6jLvNb8,-35.0267849,117.8557217
Due South,"6 Toll Pl, Albany WA 6330, Australia",(08) 9841 8526,http://duesouthalbany.com.au/,"bar,establishment,food,point_of_interest,restaurant",Albany,"restaurants,pubs and bars,cafes,takeaway food,sporting clubs",4.1,1863,ChIJ3XOoeCQnOSoRSdFnwVIBr64,-35.0298843,117.8861199
Rustlers Steakhouse & Grill,"222 Stirling Terrace, Albany WA 6330, Australia",(08) 9800 9191,https://www.rustlers.com.au/,"bar,establishment,food,point_of_interest,restaurant",Albany,"restaurants,pubs and bars,takeaway food",4.4,1917,ChIJV7ePuiUnOSoRbg1yIeLrv6U,-35.0274395,117.8809642
Garrison Restaurant & Bar,"7 Forts Rd, Mount Clarence WA 6330, Australia",(08) 9842 6654,http://www.garrison.net.au/,"bar,establishment,food,point_of_interest,restaurant",Albany,"restaurants,pubs and bars,cafes,takeaway food",4.1,911,ChIJX9_fImYnOSoRbzfrU8m1roo,-35.0310517,117.9123635
Liberté,"162 Stirling Terrace, Albany WA 6330, Australia",(08) 9847 4797,http://www.libertealbany.com.au/,"bar,establishment,food,point_of_interest,restaurant",Albany,"restaurants,pubs and bars,cafes,takeaway food",4.3,693,ChIJpRdgbCYnOSoR1_yw2_cdbQU,-35.0268608,117.8832502
VIEW Restaurant,"Albany Entertainment Centre, 2 Toll Pl, Albany WA 6330, Australia",(08) 9844 5040,https://www.artsculturetrust.wa.gov.au/venues/albany-entertainment-centre/food-and-drink/view-restaurant/,"establishment,food,point_of_interest,restaurant",Albany,"restaurants,cafes,takeaway food",4.2,82,ChIJGwxVgCMnOSoRm8j6F3Co99Y,-35.0293789,117.8854245
Six Degrees,"70 Stirling Terrace, Albany WA 6330, Australia",(08) 6156 9282,https://sixdegreesalbany.com.au/,"bar,establishment,food,point_of_interest,restaurant",Albany,"restaurants,pubs and bars,cafes,hotels,takeaway food,sporting clubs",4.1,1274,ChIJcy7drCUnOSoRDzlu2pvUvBE,-35.027089,117.886201
369 Bar & Grill,"369 Albany Hwy, Orana WA 6330, Australia",0431 263 056,http://369barandgrill.com.au/,"bar,establishment,food,lodging,point_of_interest,restaurant",Albany,"restaurants,pubs and bars,cafes",4.7,50,ChIJAVMWIHAhOSoR-TjDNk-Jbj4,-35.0013321,117.8627999
Majuba Bistro,"132 York St, Albany WA 6330, Australia",(08) 9841 1852,http://www.majuba.com.au/,"establishment,food,point_of_interest,restaurant",Albany,"restaurants,pubs and bars,cafes",4.4,359,ChIJKQJrFm4nOSoRsA63pCtLTsM,-35.02634,117.88407
The Earl of Spencer Historic Inn - Bar & Restaurant,"60 Earl St, Albany WA 6330, Australia",(08) 9847 4262,https://theearl.net.au/,"bar,establishment,food,point_of_interest,restaurant",Albany,"restaurants,pubs and bars",4.4,1018,ChIJ07fddiUnOSoRbxtDHglu5_w,-35.0249806,117.8871444
Luma Luma,"350 Middleton Loop, Albany WA 6330, Australia",0438 009 528,https://www.lumalumafood.com.au/,"establishment,food,meal_takeaway,point_of_interest,restaurant",Albany,"restaurants,cafes,takeaway food",4.7,31,ChIJ70QeyQcnOSoR12e3a2HDm74,-35.0202465,117.8841603
Together & Co,"3 Toll Pl, Albany WA 6330, Australia",(08) 9872 9200,,"establishment,food,point_of_interest,restaurant",Albany,"restaurants,cafes",4.7,9,ChIJAeVYFgAnOSoRVoSoEC2rXP4,-35.0293955,117.8869035
Wilson Brewing Company,"72 Stirling Terrace, Albany WA 6330, Australia",(08) 9841 1733,https://www.wilsonbrewing.com.au/,"bar,establishment,food,point_of_interest,restaurant",Albany,"restaurants,pubs and bars,cafes",4.4,368,ChIJ8TgCfdnpRSoR9Ng983WExDc,-35.0270282,117.8859071
Lime 303,"303 Middleton Rd, Mount Clarence WA 6330, Australia",(08) 9844 4444,http://www.dogrockmotel.com.au/lime303,"bar,establishment,food,point_of_interest,restaurant",Albany,"restaurants,pubs and bars,cafes,takeaway food",4.5,316,ChIJg41yny4nOSoRV75_ZN5UBaw,-35.0195086,117.8856726
